update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,2230.0912454362615,0,0.3647999978065491,0.40952392686362526,0.0,0.9855999946594238,59.88,47.555710487805776,2.0,125.0,1.8964697420597076,-0.12813543621450663,-0.11012525204569101,0.028092893306165934,0.09984919738818983,0.3647999978065491,0.40952392686362526,0.0,0.9855999946594238
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,5033.488240943608,1,0.3355578960556733,0.3764735531843964,0.0,0.920799970626831,50.421052631578945,39.096124171172725,3.0,125.0,1.9223534762859344,0.013342883816221729,-0.11060160957276821,0.03251924202777445,0.08037406425981941,0.3355578960556733,0.3764735531843964,0.0,0.920799970626831
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,4974.971239929805,1,0.26996922932374173,0.38455045062801047,0.0,0.9855999946594238,55.743589743589745,45.67539760186111,2.0,125.0,1.915548712015152,0.0654728845693171,-0.040821713861078024,0.0200643518473953,0.05119917319473163,0.26996922932374173,0.38455045062801047,0.0,0.9855999946594238
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,5430.800136814214,2,0.3153422196706136,0.4058778516795554,0.0,0.9927999973297119,44.48888888888889,42.80271134829466,1.0,125.0,1.903211772441864,0.1125524640083313,-0.03546038386411965,0.02257312717847526,0.09017479271838665,0.3153422196706136,0.4058778516795554,0.0,0.9927999973297119
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,5147.71451840337,2,0.4029387734374221,0.41786384012302025,0.0,0.9927999973297119,42.46938775510204,40.38038624756711,1.0,125.0,1.9045797139406204,0.15490321815013885,-0.0447197942994535,0.029611736768856645,0.09619846886496411,0.4029387734374221,0.41786384012302025,0.0,0.9927999973297119
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,4886.222166097551,2,0.3682909079573371,0.41012083380965536,0.0,0.9639999866485596,45.38636363636363,39.896579888216735,2.0,125.0,1.8915246278047562,0.15846604108810425,-0.034162316587753594,0.02703318139538169,0.1033677834151618,0.3682909079573371,0.41012083380965536,0.0,0.9639999866485596
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,4923.239064336736,3,0.43076999895274637,0.4275221789052046,0.0,0.9927999973297119,27.625,25.848295398343,1.0,108.0,1.862704411149025,0.23385338112711906,-0.04863725136965513,0.04815044021233916,0.18815800271460711,0.43076999895274637,0.4275221789052046,0.0,0.9927999973297119
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,5087.6634132617855,3,0.45035733381907145,0.40731112299759126,0.0,0.9927999973297119,27.533333333333335,25.32631481724537,1.0,125.0,1.8556283116340637,0.3262101337313652,-0.028550357092171907,0.03869831096380949,0.1073852318687004,0.45035733381907145,0.40731112299759126,0.0,0.9927999973297119
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,5226.416659923179,4,0.49109532579640364,0.4399850324240081,0.0,0.9927999973297119,20.710280373831775,22.00382691685269,1.0,118.0,1.843465730547905,0.3539240062236786,-0.02176395442802459,0.05822730669751763,0.1462620375090765,0.49109532579640364,0.4399850324240081,0.0,0.9927999973297119
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,5087.750801371275,4,0.5328440349036401,0.4379393101559146,0.0,0.9927999973297119,18.027522935779817,17.515633235073768,1.0,101.0,1.7695738971233368,0.38364503160119057,-0.01616883371025324,0.05760235572233796,0.14913538762684136,0.5328440349036401,0.4379393101559146,0.0,0.9927999973297119
11,22528,4579.3983040637,5,0.5193924789590046,0.44495321584604275,0.0,0.9927999973297119,16.44360902255639,18.293518936914708,1.0,116.0,1.7652936726808548,0.3988843634724617,-0.020393021986819804,0.06558699999004602,0.164386459893623,0.5193924789590046,0.44495321584604275,0.0,0.9927999973297119
