Episode,Reward_Decaying,Reward_Constant
1,-2.5599999999999894,-1.0308593750000012
2,-2.5599999999999894,-2.5599999999999894
3,-2.3959374999999907,-0.3010156250000007
4,-2.5599999999999894,-2.233749999999993
5,-2.5599999999999894,0.05039062499999958
6,-2.5599999999999894,-2.5599999999999894
7,-2.5599999999999894,-2.5599999999999894
8,-2.5599999999999894,-1.3687500000000012
9,-2.5599999999999894,-2.5599999999999894
10,-2.5599999999999894,-2.5599999999999894
11,-2.5599999999999894,-1.3822656250000014
12,-2.5599999999999894,-2.5599999999999894
13,-2.5599999999999894,-0.665937500000001
14,-2.5599999999999894,-2.5599999999999894
15,-2.5599999999999894,-1.1254687500000014
16,-2.5599999999999894,-0.1793750000000005
17,-2.328359374999992,-2.5599999999999894
18,-2.5599999999999894,-1.4903906250000014
19,-2.5599999999999894,-1.787734375
20,-2.5599999999999894,-2.5599999999999894
21,-2.5599999999999894,-0.814609375000001
22,-2.5599999999999894,0.3612499999999998
23,-2.5599999999999894,-2.5599999999999894
24,0.17203124999999964,0.2936718749999998
25,-2.5599999999999894,-2.5599999999999894
26,-0.1793750000000005,-2.5599999999999894
27,-0.28750000000000064,-0.23343750000000063
28,-2.5599999999999894,0.38828124999999974
29,-2.5599999999999894,-0.665937500000001
30,-2.5599999999999894,-0.19289062500000065
31,-2.5599999999999894,-2.5599999999999894
32,-1.733671875000001,0.13148437499999965
33,-2.5599999999999894,0.3071874999999997
34,-2.5599999999999894,-1.1254687500000014
35,-2.5599999999999894,-1.5985156250000014
36,-2.5599999999999894,0.645078125
37,-2.5599999999999894,-2.5599999999999894
38,-2.5599999999999894,-0.5983593750000009
39,0.07742187499999964,-0.07125000000000048
40,-2.5599999999999894,-2.5599999999999894
41,-1.1525000000000012,0.5234374999999998
42,-2.5599999999999894,-1.3282031250000013
43,-2.5599999999999894,0.18554687499999967
44,-2.193203124999994,-0.5848437500000008
45,-1.6120312500000016,-1.5985156250000014
46,-0.665937500000001,0.3071874999999997
47,-0.5848437500000008,-2.193203124999994
48,-2.1526562499999944,-0.5713281250000009
49,-0.7064843750000009,-0.5442968750000008
50,-0.3010156250000007,-2.0174999999999965
51,-0.760546875000001,-0.23343750000000063
52,-1.8417968749999991,-1.098437500000001
53,-0.15234375000000056,0.03687499999999955
54,-0.3956250000000008,0.33421874999999973
55,0.5910156249999998,-2.044531249999996
56,0.21257812499999973,0.15851562499999972
57,-2.5599999999999894,-0.7470312500000009
58,-2.5599999999999894,0.03687499999999955
59,-2.368906249999991,-0.9092187500000011
60,0.06390624999999961,0.6856249999999999
61,-1.733671875000001,-2.2878124999999923
62,0.1990624999999997,0.563984375
63,-1.138984375000001,-0.665937500000001
64,-1.2335937500000012,0.4017968749999998
65,0.18554687499999967,0.645078125
66,0.14499999999999968,0.6180468749999999
67,-0.20640625000000057,0.1990624999999997
68,-2.5599999999999894,-0.5307812500000009
69,-0.2199218750000006,-0.5037500000000008
70,-1.1660156250000013,0.44234374999999976
71,-0.04421875000000042,0.5910156249999998
72,-0.6118750000000008,0.34773437499999976
73,0.4558593749999998,-0.7064843750000009
74,0.4964062499999999,-0.4632031250000008
75,-0.6118750000000008,0.21257812499999973
76,-1.6931250000000015,0.6585937499999999
77,-0.11179687500000046,-0.5983593750000009
78,-2.5599999999999894,-0.1253125000000006
79,0.009843749999999485,-0.6929687500000009
